id,process_id,company,pankou,chupan_bigball_rating,chupan_pankou,chupan_smallball_rating,instant_bigball_rating,instant_pankou,instant_smallball_rating
804,86,10BET,盘口3,1.33,3,0.61,0.63,2/2.5,1.28
805,86,10BET,盘口4,1.49,3,0.54,1.49,3,0.54
806,86,金宝博,盘口1,1.11,2.5/3,0.80,0.91,2.5,0.99
807,86,金宝博,盘口2,1.14,2.5/3,0.77,1.21,2.5/3,0.72
808,86,金宝博,盘口3,0.70,2/2.5,1.25,0.71,2/2.5,1.23
809,86,12bet,盘口1,1.00,2.5/3,0.90,0.90,2.5,1.00
810,86,12bet,盘口2,1.18,2.5/3,0.75,1.18,2.5/3,0.75
811,86,利记,盘口1,1.05,2.5/3,0.85,0.92,2.5,0.98
812,86,利记,盘口2,0.92,2.5,0.98,1.14,2.5/3,0.77
813,86,盈禾,盘口1,1.07,2.5/3,0.80,0.93,2.5,0.94
814,86,盈禾,盘口2,1.11,2.5/3,0.77,1.17,2.5/3,0.72
815,86,盈禾,盘口3,1.17,2.5/3,0.72,0.70,2/2.5,1.20
816,86,盈禾,盘口4,0.67,2/2.5,1.25,0.69,2/2.5,1.22
817,86,18Bet,盘口1,1.13,2.5/3,0.79,0.90,2.5,0.98
818,86,18Bet,盘口2,1.14,2.5/3,0.77,1.18,2.5/3,0.75
819,86,18Bet,盘口3,0.70,2/2.5,1.21,0.71,2/2.5,1.23
820,86,立博,盘口1,0.95,2.5,0.83,0.91,2.5,0.87
821,86,立博,盘口2,0.30,1.5,2.40,0.29,1.5,2.50
822,86,立博,盘口3,2.40,3.5,0.30,3.20,3.5,0.22
823,86,立博,盘口4,0.06,0.5,10.00,0.04,0.5,14.00
824,87,ManbetX,盘口1,1.01,2.5/3,0.89,1.01,2.5/3,0.89
825,87,ManbetX,盘口2,0.80,2.5,1.11,0.80,2.5,1.11
826,87,Crown,盘口1,1.00,2.5/3,0.86,1.00,2.5/3,0.86
827,87,Crown,盘口2,0.79,2.5,1.07,0.79,2.5,1.07
828,87,Bet365,盘口1,1.04,2.5/3,0.86,1.04,2.5/3,0.86
829,87,韦德,盘口1,1.02,2.5/3,0.89,1.00,2.5/3,0.90
830,87,韦德,盘口2,0.80,2.5,1.12,0.77,2.5,1.12
831,87,韦德,盘口3,1.35,3,0.65,1.30,3,0.65
832,87,明陞,盘口1,1.00,2.5/3,0.90,1.04,2.5/3,0.86
833,87,10BET,盘口1,0.98,2.5/3,0.87,1.01,2.5/3,0.85
834,87,10BET,盘口2,0.77,2.5,1.05,0.77,2.5,1.05
835,87,10BET,盘口3,1.30,3,0.62,1.30,3,0.62
836,87,10BET,盘口4,0.55,2/2.5,1.45,0.55,2/2.5,1.45
837,87,金宝博,盘口1,1.01,2.5/3,0.89,1.01,2.5/3,0.89
838,87,金宝博,盘口2,0.80,2.5,1.11,0.80,2.5,1.11
839,87,12bet,盘口1,1.00,2.5/3,0.90,1.04,2.5/3,0.86
840,87,利记,盘口1,1.01,2.5/3,0.89,1.06,2.5/3,0.84
841,87,盈禾,盘口1,1.01,2.5/3,0.86,1.01,2.5/3,0.86
842,87,盈禾,盘口2,0.80,2.5,1.07,0.80,2.5,1.07
843,87,18Bet,盘口1,1.00,2.5/3,0.90,1.03,2.5/3,0.85
844,87,18Bet,盘口2,0.80,2.5,1.08,0.80,2.5,1.11
845,87,立博,盘口1,0.75,2.5,1.05,0.75,2.5,1.05
846,87,立博,盘口2,0.25,1.5,2.90,0.25,1.5,3.00
847,87,立博,盘口3,1.90,3.5,0.40,1.88,3.5,0.40
848,87,立博,盘口4,0.05,0.5,12.00,0.05,0.5,12.00
849,88,ManbetX,盘口1,0.85,2.5,1.05,0.83,2.5,1.07
850,88,ManbetX,盘口2,1.08,2.5/3,0.82,1.08,2.5/3,0.82
851,88,Crown,盘口1,1.04,2.5/3,0.82,0.84,2.5,1.02
852,88,Crown,盘口2,1.05,2.5/3,0.81,1.05,2.5/3,0.81
853,88,Bet365,盘口1,1.05,2.5/3,0.85,1.05,2.5/3,0.85
854,88,韦德,盘口1,0.91,2.5,0.98,1.05,2.5/3,0.85
855,88,韦德,盘口2,1.15,2.5/3,0.77,0.80,2.5,1.08
856,88,韦德,盘口3,0.67,2/2.5,1.30,1.40,3,0.62
857,88,明陞,盘口1,1.05,2.5/3,0.85,1.05,2.5/3,0.85
858,88,10BET,盘口1,1.03,2.5/3,0.84,0.87,2.5,0.98
859,88,10BET,盘口2,1.03,2.5/3,0.80,1.03,2.5/3,0.80
860,88,10BET,盘口3,0.63,2/2.5,1.29,0.63,2/2.5,1.29
861,88,10BET,盘口4,1.48,3,0.54,1.48,3,0.54
862,88,金宝博,盘口1,1.05,2.5/3,0.85,0.83,2.5,1.07
863,88,金宝博,盘口2,1.08,2.5/3,0.82,1.08,2.5/3,0.82
864,88,12bet,盘口1,1.05,2.5/3,0.85,1.05,2.5/3,0.85
865,88,利记,盘口1,1.06,2.5/3,0.84,1.06,2.5/3,0.84
866,88,盈禾,盘口1,1.05,2.5/3,0.82,0.85,2.5,1.02
867,88,盈禾,盘口2,1.06,2.5/3,0.81,1.06,2.5/3,0.81
868,88,盈禾,盘口3,1.06,2.5/3,0.81,1.06,2.5/3,0.81
869,88,18Bet,盘口1,1.05,2.5/3,0.85,1.06,2.5/3,0.84
870,88,18Bet,盘口2,1.06,2.5/3,0.84,0.83,2.5,1.07
871,88,立博,盘口1,0.67,2.5,1.15,0.83,2.5,0.95
872,88,立博,盘口2,0.22,1.5,3.33,0.29,1.5,2.70
873,88,立博,盘口3,1.65,3.5,0.44,2.10,3.5,0.36
874,88,立博,盘口4,0.04,0.5,14.00,0.05,0.5,11.00
875,89,韦德,盘口1,0.91,2.5,0.98,0.91,2.5,0.98
876,89,韦德,盘口2,1.15,2.5/3,0.77,1.14,2.5/3,0.77
877,89,韦德,盘口3,0.67,2/2.5,1.30,0.67,2/2.5,1.30
878,89,立博,盘口1,0.87,2.5,0.91,0.83,2.5,0.95
879,89,立博,盘口2,0.29,1.5,2.60,0.29,1.5,2.70
880,89,立博,盘口3,2.20,3.5,0.33,2.10,3.5,0.36
881,89,立博,盘口4,0.06,0.5,10.00,0.06,0.5,11.00
882,90,韦德,盘口1,0.92,2/2.5,0.95,0.92,2/2.5,0.95
883,90,韦德,盘口2,1.20,2.5,0.75,1.20,2.5,0.73
884,90,韦德,盘口3,0.65,2,1.35,0.65,2,1.30
885,91,ManbetX,盘口1,0.98,2/2.5,0.92,0.96,2/2.5,0.94
886,91,ManbetX,盘口2,1.28,2.5,0.68,1.25,2.5,0.70
887,91,ManbetX,盘口3,0.69,2,1.26,0.68,2,1.28
888,91,ManbetX,盘口4,0.94,2.5,0.96,0.94,2.5,0.96
889,91,Crown,盘口1,0.92,2/2.5,0.94,0.95,2/2.5,0.91
890,91,Crown,盘口2,1.16,2.5,0.72,0.67,2,1.23
891,91,Crown,盘口3,1.21,2.5,0.68,1.19,2.5,0.70
892,91,Bet365,盘口1,1.18,2.5,0.74,0.96,2/2.5,0.94
893,91,韦德,盘口1,0.92,2/2.5,0.95,0.95,2/2.5,0.92
