0,2018-06-09,德  国,沙  特,友谊赛,-3.25,1.04,12.81,37.69,3.75,2,1,2,3.5/4,3,1,13
1,2018-03-28,德  国,巴  西,友谊赛,0.25,2.83,3.35,2.43,2.5,0,1,0,2.5,1,-1,1
2,2018-03-24,德  国,西班牙,友谊赛,-0.25,2.26,3.26,3.17,2.5,1,1,1,2.5,2,0,7
3,2017-11-15,德  国,法 国,友谊赛,-0.25,2.16,3.34,3.29,2.5,2,2,1,2.5,4,0,14
4,2017-10-09,德  国,阿塞拜,世外欧洲,-3.5,1.03,17.82,48.61,4.25,5,1,2,4/4.5,6,4,31
5,2017-09-05,德  国,挪  威,世外欧洲,-2.0,1.14,7.87,19.02,3.25,6,0,2,3/3.5,6,6,0
6,2017-06-30,德  国,墨西哥,联合会杯,-0.5,1.9,3.57,3.97,2.75,4,1,2,2.5/3,5,3,25
7,2017-06-25,德  国,喀麦隆,联合会杯,-1.25,1.36,5.12,7.74,3.25,3,1,2,3/3.5,4,2,19
8,2017-06-23,德  国,智  利,联合会杯,0.0,2.65,3.38,2.57,2.75,1,1,1,2.5/3,2,0,7
9,2017-06-11,德  国,圣马力,世外欧洲,-7.25,1.01,36.85,97.54,7.75,7,0,2,7.5/8,7,7,0
10,2017-03-23,德  国,英格兰,友谊赛,-0.75,1.79,3.52,4.61,2.75,1,0,2,2.5/3,1,1,6
11,2016-10-12,德  国,北  爱,世外欧洲,-2.5,1.1,9.16,25.33,3.25,2,0,2,3/3.5,2,2,12
12,2016-10-09,德  国,捷  克,世外欧洲,-2.0,1.2,6.58,13.4,3.0,3,0,2,3,3,3,18
13,2016-09-01,德  国,芬  兰,友谊赛,-2.0,1.3,6.68,14.26,3.25,2,0,2,3/3.5,2,2,12
14,2016-07-03,德  国,意大利,欧洲杯,-0.25,2.25,3.04,3.73,2.0,1,1,1,2,2,0,7
15,2016-06-26,德  国,斯洛伐,欧洲杯,-1.0,1.42,4.17,9.72,2.25,3,0,2,2/2.5,3,3,18
16,2016-06-17,德  国,波  兰,欧洲杯,-1.0,1.58,4.01,6.08,2.75,0,0,1,2.5/3,0,0,0
17,2016-06-13,德  国,乌克兰,欧洲杯,-1.0,1.53,4.1,6.82,2.5,2,0,2,2.5,2,2,12
18,2016-06-04,德  国,匈牙利,友谊赛,-2.0,1.18,6.88,15.08,3.25,2,0,2,3/3.5,2,2,12
19,2016-05-29,德  国,斯洛伐,友谊赛,-1.25,1.39,4.7,7.53,3.25,1,3,0,3/3.5,4,-2,9
20,2016-03-30,德  国,意大利,友谊赛,-0.5,1.84,3.46,4.25,2.5,4,1,2,2.5,5,3,25
21,2016-03-27,德  国,英格兰,友谊赛,-0.75,1.72,3.68,4.72,2.5,2,3,0,2.5,5,-1,15
22,2015-10-12,德  国,格鲁吉,欧洲杯,-3.0,1.05,12.99,37.65,4.0,2,1,2,4,3,1,13
23,2015-09-05,德  国,波  兰,欧洲杯,-1.25,1.31,5.18,8.87,2.75,3,1,2,2.5/3,4,2,19
24,2015-06-11,德  国,美  国,友谊赛,-1.0,1.46,4.47,6.03,3.0,1,2,0,3,3,-1,8
25,2015-03-26,德  国,澳大利,友谊赛,-2.0,1.16,7.08,14.28,3.25,2,2,1,3/3.5,4,0,14
27,2014-10-15,德  国,爱尔兰,欧洲杯,-2.0,1.22,6.05,12.64,3.0,1,1,1,3,2,0,7
28,2014-09-08,德  国,苏格兰,欧洲杯,-1.75,1.15,7.3,14.37,3.5,2,1,2,3.5,3,1,13
29,2014-09-04,德  国,阿根廷,友谊赛,-0.5,1.94,3.42,3.73,2.5,2,4,0,2.5,6,-2,16
30,2014-07-14,德  国,阿根廷,世界杯,-0.25,2.25,3.22,3.38,2.0,0,0,1,2,0,0,0
31,2014-07-01,德  国,阿尔及,世界杯,-1.5,1.29,5.48,10.05,2.75,0,0,1,2.5/3,0,0,0
32,2014-06-22,德  国,加 纳,世界杯,-1.5,1.3,5.45,9.2,3.0,2,2,1,3,4,0,14
33,2014-06-16,德  国,葡萄牙,世界杯,-0.5,2.01,3.43,3.71,2.75,4,0,2,2.5/3,4,4,24
34,2014-06-07,德  国,亚美尼,友谊赛,-2.5,1.07,10.47,21.74,3.75,6,1,2,3.5/4,7,5,0
35,2014-06-02,德  国,喀麦隆,友谊赛,-1.75,1.22,5.78,11.31,3.0,2,2,1,3,4,0,14
36,2014-05-14,德  国,波  兰,友谊赛,-1.75,1.31,5.02,8.1,3.0,0,0,1,3,0,0,0
37,2014-03-06,德  国,智  利,友谊赛,-1.5,1.4,4.53,6.95,3.25,1,0,2,3/3.5,1,1,6
38,2013-10-12,德  国,爱尔兰,世外欧洲,-2.5,1.16,7.08,14.56,3.5,3,0,2,3.5,3,3,18
39,2013-09-07,德  国,奥地利,世外欧洲,-2.0,1.19,6.64,12.13,3.5,3,0,2,3.5,3,3,18
40,2013-08-15,德  国,巴拉圭,友谊赛,-2.0,1.22,5.77,10.67,3.25,3,3,1,3/3.5,6,0,21
41,2013-03-27,德  国,哈萨克,世外欧洲,-3.75,1.02,16.37,40.61,4.75,4,1,2,4.5/5,5,3,25
42,2012-10-17,德  国,瑞  典,世外欧洲,-1.5,1.27,5.3,10.38,3.0,4,4,1,3,8,0,28
43,2012-09-08,德  国,法  罗,世外欧洲,-4.75,1.01,16.74,39.64,5.5,3,0,2,5.5,3,3,18
44,2012-08-16,德  国,阿根廷,友谊赛,-0.25,2.19,3.3,3.06,2.75,1,3,0,2.5/3,4,-2,9
45,2012-06-29,德  国,意大利,欧洲杯,-0.5,1.87,3.29,4.44,2.25,1,2,0,2/2.5,3,-1,8
46,2012-06-23,德  国,希  腊,欧洲杯,-1.25,1.32,4.96,9.88,2.75,4,2,2,2.5/3,6,2,26
47,2012-06-10,德  国,葡萄牙,欧洲杯,-0.5,2.0,3.3,3.77,2.5,1,0,2,2.5,1,1,6
48,2012-06-01,德  国,以色列,友谊赛,-2.5,1.15,7.04,14.18,3.5,2,0,2,3.5,2,2,12
49,2012-03-01,德  国,法 国,友谊赛,-0.5,1.69,3.45,4.81,2.25,1,2,0,2/2.5,3,-1,8
50,2018-06-03,巴  西,克罗地,友谊赛,-0.75,1.66,3.61,5.43,2.5,2,0,2,2.5,2,2,12
51,2017-10-11,巴  西,智  利,世外南美,-1.0,1.6,3.94,5.4,2.75,3,0,2,2.5/3,3,3,18
52,2017-09-01,巴  西,厄瓜多,世外南美,-1.75,1.21,6.31,13.5,3.0,2,0,2,3,2,2,12
53,2017-03-29,巴  西,巴拉圭,世外南美,-2.0,1.15,7.33,17.63,3.0,3,0,2,3,3,3,18
54,2017-01-26,巴  西,哥伦比,友谊赛,-0.5,1.98,3.39,3.59,2.75,1,0,2,2.5/3,1,1,6
55,2016-11-11,巴  西,阿根廷,世外南美,-0.25,2.13,3.23,3.53,2.25,3,0,2,2/2.5,3,3,18
56,2016-10-07,巴  西,玻利维,世外南美,-2.75,1.08,10.32,26.39,3.5,5,0,2,3.5,5,5,30
57,2016-09-07,巴  西,哥伦比,世外南美,-1.0,1.51,3.98,6.43,2.5,2,1,2,2.5,3,1,13
58,2016-06-13,巴  西,秘  鲁,美洲杯,-1.25,1.4,4.58,7.99,2.5,0,1,0,2.5,1,-1,1
59,2016-06-09,巴  西,海 地,美洲杯,-2.25,1.12,9.23,26.65,3.0,7,1,2,3,8,6,0
60,2016-06-05,巴  西,厄瓜多,美洲杯,-0.5,1.87,3.42,4.33,2.25,0,0,1,2/2.5,0,0,0
61,2016-05-30,巴  西,巴拿马,友谊赛,-1.5,1.24,5.56,11.97,2.75,2,0,2,2.5/3,2,2,12
62,2016-03-26,巴  西,乌拉圭,世外南美,-1.25,1.45,4.3,6.86,2.5,2,2,1,2.5,4,0,14
63,2015-11-18,巴  西,秘  鲁,世外南美,-1.75,1.26,5.32,11.32,2.5,3,0,2,2.5,3,3,18
64,2015-10-14,巴  西,委内瑞,世外南美,-1.5,1.26,5.36,10.51,2.75,3,1,2,2.5/3,4,2,19
65,2015-09-06,巴  西,哥斯达,友谊赛,-1.25,1.51,4.32,6.7,2.75,1,0,2,2.5/3,1,1,6
66,2015-06-28,巴  西,巴拉圭,美洲杯,-0.75,1.61,3.62,5.96,2.25,1,1,1,2/2.5,2,0,7
67,2015-06-22,巴  西,委内瑞,美洲杯,-1.0,1.55,3.71,6.71,2.5,2,1,2,2.5,3,1,13
68,2015-06-18,巴  西,哥伦比,美洲杯,-0.5,1.99,3.33,3.76,2.5,0,1,0,2.5,1,-1,1
69,2015-06-15,巴  西,秘  鲁,美洲杯,-1.25,1.33,4.86,9.36,2.75,2,1,2,2.5/3,3,1,13
70,2015-06-11,巴  西,洪都拉,友谊赛,-2.5,1.11,8.26,18.11,3.25,1,0,2,3/3.5,1,1,6
71,2015-06-08,巴  西,墨西哥,友谊赛,-1.25,1.41,4.36,7.27,2.5,2,0,2,2.5,2,2,12
72,2015-03-29,巴  西,智  利,友谊赛,-0.75,1.66,3.75,4.8,2.5,1,0,2,2.5,1,1,6
73,2014-10-11,巴  西,阿根廷,友谊赛,0.0,2.85,3.29,2.35,2.75,2,0,2,2.5/3,2,2,12
74,2014-09-10,巴  西,厄瓜多,友谊赛,-1.0,1.4,4.35,7.03,2.5,1,0,2,2.5,1,1,6
75,2014-09-06,巴  西,哥伦比,友谊赛,-0.25,2.13,3.28,3.24,2.5,1,0,2,2.5,1,1,6
76,2014-07-13,巴  西,荷  兰,世界杯,-0.25,2.19,3.59,3.12,2.75,0,3,0,2.5/3,3,-3,3
77,2014-07-09,巴  西,德  国,世界杯,0.0,2.68,3.14,2.76,2.25,1,7,0,2/2.5,8,-6,0
78,2014-07-05,巴  西,哥伦比,世界杯,-0.75,1.79,3.59,4.55,2.25,2,1,2,2/2.5,3,1,13
79,2014-06-28,巴  西,智  利,世界杯,-1.0,1.52,4.27,6.1,2.75,1,1,1,2.5/3,2,0,7
80,2014-06-24,巴  西,喀麦隆,世界杯,-2.5,1.12,8.53,19.89,3.5,4,1,2,3.5,5,3,25
81,2014-06-18,巴  西,墨西哥,世界杯,-1.25,1.32,5.19,9.26,3.0,0,0,1,3,0,0,0
82,2014-06-13,巴  西,克罗地,世界杯,-1.5,1.29,5.05,11.13,2.5,3,1,2,2.5,4,2,19
83,2014-06-07,巴  西,塞尔维,友谊赛,-1.75,1.2,6.06,11.83,3.0,1,0,2,3,1,1,6
84,2014-06-04,巴  西,巴拿马,友谊赛,-2.5,1.08,9.76,23.5,3.75,4,0,2,3.5/4,4,4,24
85,2013-11-20,巴  西,智  利,友谊赛,-1.0,1.53,3.96,5.55,3.0,2,1,2,3,3,1,13
86,2013-11-17,巴  西,洪都拉,友谊赛,-2.0,1.17,6.62,13.29,3.25,5,0,2,3/3.5,5,5,30
87,2013-10-15,巴  西,赞比亚,友谊赛,-2.75,1.05,11.72,28.31,3.75,2,0,2,3.5/4,2,2,12
88,2013-09-11,巴  西,葡萄牙,友谊赛,-1.0,1.57,3.81,5.45,2.75,3,1,2,2.5/3,4,2,19
89,2013-09-08,巴  西,澳大利,友谊赛,-2.0,1.16,6.62,13.99,3.0,6,0,2,3,6,6,0
90,2013-07-01,巴  西,西班牙,联合会杯,0.0,2.57,3.2,2.68,2.75,3,0,2,2.5/3,3,3,18
91,2013-06-27,巴  西,乌拉圭,联合会杯,-1.25,1.35,4.79,7.83,3.0,2,1,2,3,3,1,13
92,2013-06-23,巴  西,意大利,联合会杯,-1.0,1.63,3.67,5.22,2.5,4,2,2,2.5,6,2,26
93,2013-06-20,巴  西,墨西哥,联合会杯,-1.5,1.33,4.73,8.5,2.75,2,0,2,2.5/3,2,2,12
94,2013-06-16,巴  西,日 本,联合会杯,-1.5,1.28,5.16,9.7,3.0,3,0,2,3,3,3,18
95,2013-06-10,巴  西,法 国,友谊赛,-0.75,1.62,3.6,5.29,2.5,3,0,2,2.5,3,3,18
96,2013-06-03,巴  西,英格兰,友谊赛,-1.0,1.53,3.9,5.66,2.75,2,2,1,2.5/3,4,0,14
97,2013-03-26,巴  西,俄罗斯,友谊赛,-1.0,1.56,3.81,5.51,2.5,1,1,1,2.5,2,0,7
98,2013-03-22,巴  西,意大利,友谊赛,-0.5,2.02,3.27,3.52,2.25,2,2,1,2/2.5,4,0,14
99,2012-11-15,巴  西,哥伦比,友谊赛,-0.75,1.6,3.72,5.16,2.75,1,1,1,2.5/3,2,0,7
100,2018-06-12,比利时,哥斯达,友谊赛,-1.75,1.21,5.88,14.41,2.75,4,1,2,2.5/3,5,3,25
101,2018-06-07,比利时,埃  及,友谊赛,-1.75,1.24,5.41,13.01,2.5,3,0,2,2.5,3,3,18
102,2018-06-03,比利时,葡萄牙,友谊赛,-0.75,1.67,3.77,5.02,2.5,0,0,1,2.5,0,0,0
103,2018-03-28,比利时,沙  特,友谊赛,-2.5,1.08,9.71,29.04,3.25,4,0,2,3/3.5,4,4,24
104,2017-11-15,比利时,日 本,友谊赛,-1.5,1.29,5.5,8.89,3.25,1,0,2,3/3.5,1,1,6
105,2017-11-11,比利时,墨西哥,友谊赛,-1.25,1.45,4.44,6.3,3.0,3,3,1,3,6,0,21
106,2017-10-11,比利时,塞浦路,世外欧洲,-2.75,1.07,11.4,30.79,3.75,4,0,2,3.5/4,4,4,24
107,2017-09-01,比利时,直布罗,世外欧洲,-6.5,1.01,30.74,68.09,7.0,9,0,2,7,9,9,0
108,2017-06-06,比利时,捷  克,友谊赛,-1.5,1.35,4.92,8.16,3.0,2,1,2,3,3,1,13
109,2017-03-26,比利时,希  腊,世外欧洲,-1.5,1.28,5.31,11.26,2.5,1,1,1,2.5,2,0,7
