id,process_id,company,home_win_odds,draw_odds,guest_win_odds,home_win_rating,draw_rating,guest_win_rating,returned_rating,kaili_index1,kaili_index2,kaili_index3,change_time
456,52,SNAI.it,1.23,5.25,10.00,73.68,17.26,9.06,90.62,0.92,0.92,0.78,2018/1/30 22:26:00
457,52,Sportsbet.com.au(澳大利亚),1.25,4.50,10.00,71.29,19.80,8.91,89.11,0.93,0.79,0.78,2017/12/4 18:41:00
458,52,Tipbet,1.30,5.50,12.20,74.46,17.60,7.93,96.80,0.97,0.96,0.96,2018/3/6 00:44:00
459,52,TipKurz(斯洛伐克),1.30,4.50,8.00,68.90,19.90,11.20,89.57,0.97,0.79,0.63,2017/12/5 15:20:00
460,52,Tipsport(捷克),1.26,5.55,11.90,75.02,17.03,7.94,94.53,0.94,0.97,0.93,2017/12/5 15:20:00
461,52,Titanbet(英属维尔京群岛),1.25,5.25,13.00,74.95,17.84,7.21,93.69,0.93,0.92,1.02,2017/3/12 07:21:00
462,52,Titanbet.es,1.25,5.25,13.00,74.95,17.84,7.21,93.69,0.93,0.92,1.02,2017/3/12 07:21:00
463,52,TonyBet(马耳他),1.23,5.65,16.00,77.25,16.82,5.94,95.01,0.92,0.99,1.25,2017/12/13 10:16:00
464,52,Topgoal(奥地利),1.27,5.50,11.50,74.55,17.21,8.23,94.68,0.95,0.96,0.90,2017/12/8 10:31:00
465,52,totesport(英国),1.25,5.50,12.00,75.11,17.07,7.82,93.88,0.93,0.96,0.94,2018/2/21 00:16:00
466,52,Totosi.it,1.20,5.00,10.00,73.53,17.65,8.82,88.24,0.90,0.88,0.78,2017/12/21 03:53:00
467,52,Triobet(马耳他),1.27,6.15,13.50,76.89,15.88,7.23,97.65,0.95,1.08,1.06,2018/3/13 07:04:00
