id,process_id,company,pankou,chupan_home_rating,chupan_pankou,chupan_away_rating,instant_home_rating,instant_pankou,instant_away_rating
928,93,韦德,盘口3,1.48,平手/半球,0.62,1.51,平手/半球,0.59
929,93,明陞,盘口1,1.11,平手,0.80,1.09,平手,0.82
930,93,10BET,盘口1,1.10,平手,0.81,1.07,平手,0.84
931,93,10BET,盘口2,0.66,受让平手/半球,1.30,0.69,受让平手/半球,1.22
932,93,10BET,盘口3,1.51,平手/半球,0.55,1.50,平手/半球,0.56
933,93,10BET,盘口4,0.52,受让半球,1.61,0.52,受让半球,1.61
934,93,金宝博,盘口1,1.05,平手,0.85,1.09,平手,0.81
935,93,金宝博,盘口2,0.76,受让平手/半球,1.16,0.76,受让平手/半球,1.16
936,93,12bet,盘口1,1.11,平手,0.80,1.09,平手,0.82
937,93,利记,盘口1,1.03,平手,0.87,1.09,平手,0.81
938,93,盈禾,盘口1,1.04,平手,0.85,1.08,平手,0.81
939,93,盈禾,盘口2,0.76,受让平手/半球,1.15,0.77,受让平手/半球,1.13
940,93,18Bet,盘口1,1.11,平手,0.80,1.08,平手,0.81
941,93,18Bet,盘口2,0.74,受让平手/半球,1.19,0.77,受让平手/半球,1.15
942,94,ManbetX,盘口1,1.03,平手,0.87,1.03,平手,0.87
943,94,ManbetX,盘口2,0.73,受让平手/半球,1.20,0.73,受让平手/半球,1.20
944,94,Crown,盘口1,0.98,平手,0.90,1.02,平手,0.86
945,94,Crown,盘口2,0.71,受让平手/半球,1.20,0.72,受让平手/半球,1.19
946,94,Bet365,盘口1,1.04,平手,0.89,1.04,平手,0.89
947,94,Bet365,盘口2,0.62,受让平手/半球,1.25,0.62,受让平手/半球,1.25
948,94,Bet365,盘口3,1.35,平手/半球,0.57,1.35,平手/半球,0.57
949,94,Bet365,盘口4,1.75,半球,0.43,1.75,半球,0.43
950,94,韦德,盘口1,0.99,平手,0.91,1.04,平手,0.88
951,94,韦德,盘口2,0.70,受让平手/半球,1.28,0.72,受让平手/半球,1.24
952,94,韦德,盘口3,1.40,平手/半球,0.65,1.44,平手/半球,0.62
953,94,明陞,盘口1,0.95,平手,0.95,1.03,平手,0.87
954,94,10BET,盘口1,0.95,平手,0.95,1.03,平手,0.87
955,94,10BET,盘口2,1.33,平手/半球,0.64,0.69,受让平手/半球,1.22
956,94,10BET,盘口3,1.39,平手/半球,0.61,1.39,平手/半球,0.61
957,94,10BET,盘口4,0.49,受让半球,1.69,0.49,受让半球,1.69
958,94,金宝博,盘口1,1.02,平手,0.88,1.03,平手,0.87
959,94,金宝博,盘口2,0.72,受让平手/半球,1.21,0.73,受让平手/半球,1.20
960,94,12bet,盘口1,0.95,平手,0.95,1.03,平手,0.87
961,94,利记,盘口1,0.94,平手,0.96,1.03,平手,0.87
962,94,盈禾,盘口1,1.02,平手,0.87,1.03,平手,0.86
963,94,盈禾,盘口2,0.72,受让平手/半球,1.20,0.73,受让平手/半球,1.19
964,94,18Bet,盘口1,0.95,平手,0.95,1.02,平手,0.86
965,94,18Bet,盘口2,0.72,受让平手/半球,1.21,0.73,受让平手/半球,1.20
966,95,韦德,盘口1,1.02,受让半球,0.90,1.01,受让半球,0.90
967,95,韦德,盘口2,0.77,受让半球/一球,1.19,0.76,受让半球/一球,1.18
968,95,韦德,盘口3,1.39,受让平手/半球,0.66,1.38,受让平手/半球,0.65
969,96,韦德,盘口1,0.87,受让半球,1.05,0.89,受让半球,1.03
970,96,韦德,盘口2,1.18,受让平手/半球,0.77,1.20,受让平手/半球,0.75
971,96,韦德,盘口3,0.65,受让半球/一球,1.41,0.65,受让半球/一球,1.38
