45,2012-06-29,德  国,意大利,欧洲杯,-0.5,1.87,3.29,4.44,2.25,1,2,0,2/2.5,3,-1,7
46,2012-06-23,德  国,希  腊,欧洲杯,-1.25,1.32,4.96,9.88,2.75,4,2,2,2.5/3,6,2,18
47,2012-06-10,德  国,葡萄牙,欧洲杯,-0.5,2.0,3.3,3.77,2.5,1,0,2,2.5,1,1,1
48,2012-06-01,德  国,以色列,友谊赛,-2.5,1.15,7.04,14.18,3.5,2,0,2,3.5,2,2,4
49,2012-03-01,德  国,法 国,友谊赛,-0.5,1.69,3.45,4.81,2.25,1,2,0,2/2.5,3,-1,7
50,2018-06-03,巴  西,克罗地,友谊赛,-0.75,1.66,3.61,5.43,2.5,2,0,2,2.5,2,2,4
51,2017-10-11,巴  西,智  利,世外南美,-1.0,1.6,3.94,5.4,2.75,3,0,2,2.5/3,3,3,9
52,2017-09-01,巴  西,厄瓜多,世外南美,-1.75,1.21,6.31,13.5,3.0,2,0,2,3,2,2,4
53,2017-03-29,巴  西,巴拉圭,世外南美,-2.0,1.15,7.33,17.63,3.0,3,0,2,3,3,3,9
54,2017-01-26,巴  西,哥伦比,友谊赛,-0.5,1.98,3.39,3.59,2.75,1,0,2,2.5/3,1,1,1
55,2016-11-11,巴  西,阿根廷,世外南美,-0.25,2.13,3.23,3.53,2.25,3,0,2,2/2.5,3,3,9
56,2016-10-07,巴  西,玻利维,世外南美,-2.75,1.08,10.32,26.39,3.5,5,0,2,3.5,5,5,25
57,2016-09-07,巴  西,哥伦比,世外南美,-1.0,1.51,3.98,6.43,2.5,2,1,2,2.5,3,1,5
58,2016-06-13,巴  西,秘  鲁,美洲杯,-1.25,1.4,4.58,7.99,2.5,0,1,0,2.5,1,-1,2
59,2016-06-09,巴  西,海 地,美洲杯,-2.25,1.12,9.23,26.65,3.0,7,1,2,3,8,6,25
60,2016-06-05,巴  西,厄瓜多,美洲杯,-0.5,1.87,3.42,4.33,2.25,0,0,1,2/2.5,0,0,0
61,2016-05-30,巴  西,巴拿马,友谊赛,-1.5,1.24,5.56,11.97,2.75,2,0,2,2.5/3,2,2,4
62,2016-03-26,巴  西,乌拉圭,世外南美,-1.25,1.45,4.3,6.86,2.5,2,2,1,2.5,4,0,8
63,2015-11-18,巴  西,秘  鲁,世外南美,-1.75,1.26,5.32,11.32,2.5,3,0,2,2.5,3,3,9
64,2015-10-14,巴  西,委内瑞,世外南美,-1.5,1.26,5.36,10.51,2.75,3,1,2,2.5/3,4,2,10
65,2015-09-06,巴  西,哥斯达,友谊赛,-1.25,1.51,4.32,6.7,2.75,1,0,2,2.5/3,1,1,1
66,2015-06-28,巴  西,巴拉圭,美洲杯,-0.75,1.61,3.62,5.96,2.25,1,1,1,2/2.5,2,0,3
